tiempo;Promedio_ES;Promedio_Lecturas;Promedio_Grabaciones;Promedio_K_ES;Promedio_uti;Util_alta;Uni_util_alta;Tiempo_Service_Alto;Unit_Service_alta;Espacio_Disco_Utilizado
02:15;992.2;639.2;353;8.6;32.8;71;7;0.0034;7;823.347
02:20;987;524;462.9;11;37.2;81.3;7;0.0082;7;823.77
02:25;959.4;730;229.3;4.5;34;73.5;7;0.0036;7;823.778
02:30;947.2;717.4;229.8;4.5;33.2;72.1;7;0.0036;7;823.75
02:35;954.2;721.3;232.8;4.4;33;73.1;7;0.0037;7;823.769
02:40;959.2;709.9;249.2;4.9;32.8;73.3;7;0.0036;7;823.783
02:45;970.2;719.2;250.9;4.5;33.1;73.1;7;0.0035;3;823.796
02:50;963.8;705;258.8;4.5;33.1;74.2;7;0.0035;7;823.811
02:55;974.6;714.6;259.9;4.5;32.8;72.9;7;0.0035;3;823.834
03:00;798.2;583.8;214.4;4.7;26.3;58.8;7;0.0035;7;823.787
03:05;244.1;196.8;47.3;9.5;4.6;8.6;7;0.0019;7;823.885
03:10;40.1;3.8;36.3;6.3;0.1;0.3;5;0.0005;1;823.879
03:15;71.1;9.9;61.2;5.2;0.4;0.4;7;0.0008;2;823.949
03:20;24.8;0.3;24.4;4.8;0;0;7;0.0002;1;823.945
03:25;17.2;1.2;15.9;6.2;0;0.1;5;0.0006;1;823.949
03:30;19.2;0.5;18.7;5.3;0;0;7;0.0005;1;823.896
03:35;511.4;509.8;1.5;6.2;14.7;29.9;7;0.003;7;823.967
03:40;517.9;503.6;14.2;5.7;16.9;36.8;7;0.0039;7;824.021
03:45;810.8;743.3;67.5;4.9;22.6;44.5;7;0.004;7;824.05
03:50;643;516.5;126.5;6.6;17.4;35.3;7;0.0037;7;823.903
03:55;14.7;3.4;11.2;7.3;0.2;0.3;7;0.0019;3;823.857
04:00;39.3;0.3;38.9;5.1;0;0;7;0.0001;1;823.858
04:05;24.4;0.2;24.1;4.8;0;0;7;0.0001;2;823.859
04:10;34.1;0.1;34;4.4;0;0;7;0;7;823.862
04:15;19.5;3.2;16.2;5.8;0.1;0.1;7;0.0009;1;823.929
04:20;41.6;2.6;39;5.6;0.1;0.2;7;0.0005;1;823.924
04:25;9.3;0.3;8.9;6.1;0;0;7;0.0004;2;823.927
04:30;8.6;0.1;8.5;6.4;0;0;7;0.0001;6;823.873
04:35;19.2;0.6;18.6;4.9;0;0;7;0.0005;1;823.875
04:40;3;0.3;2.7;9.1;0;0;7;0.0009;1;823.874
04:45;31.7;0.1;31.6;4.4;0;0;7;0;7;823.875
04:50;17.8;0.2;17.5;4.7;0;0;7;0.0002;1;823.88
04:55;16;0.1;15.8;4.9;0;0;7;0.0001;2;823.881
05:00;14.3;0.4;13.9;5.4;0;0;7;0.0003;6;823.885
05:05;708.1;705.8;2.2;6.7;23.1;34.8;7;0.0034;7;823.89
05:10;434;426;8;7.5;12.7;19.9;7;0.0025;7;824.026
05:15;22.2;9.1;13.1;12;0.3;0.6;7;0.0017;7;824.091
